ev_folio;keyword;obesidad;id_gestud;estAv
100;BBBBBB;1;Sec;0
1009;BAABBB;1;CarTec;0
989;_AAAAA;0;Lic;0
173;BAABAA;0;Mast;1
278;BBBBBB;0;CarTec;0
633;_AAAAA;1;Sec;0
117;BBBAAA;0;Sec;0
898;_AAABA;0;Lic;0
793;AAAAAA;1;Prim;0
313;AAAABA;0;Doc;1
895;AAAAAA;0;Lic;0
701;BBBBBB;0;Lic;0
45;_AAAAA;0;Bach;0
1012;BBBAAB;0;Sec;0
892;_BBBBA;0;Lic;0
237;_ABBBA;1;Bach;0
470;_AABBB;1;Lic;0
279;BBBABB;0;Sec;0
409;AAAAAA;0;Doc;1
1070;BAABAA;0;Bach;0
19;AAAAAA;0;Lic;0
656;_BBBAA;0;CarTec;0
316;BBBBBB;0;Doc;1
302;BBBBBB;1;CarTec;0
13;BBBBBB;1;CarTec;0
969;BBBABB;0;CarTec;0
